Day,Date,Open,High,Low,Close,Volume
Fri,7/31/2020,184.51,185.75,184.16,185.43,15884968
Thu,7/30/2020,183.44,184.33,182.13,183.76,18061228
Wed,7/29/2020,184.01,186.14,182.39,185.13,25640100
Tue,7/28/2020,182.02,184.26,181.42,183.75,21164444
Mon,7/27/2020,181.85,182.83,181.53,182.23,21115504
Fri,7/24/2020,179.14,179.16,178.2,178.7,15601327
Thu,7/23/2020,176.17,178.41,175.65,177.18,23006822
Wed,7/22/2020,174.05,175.77,173.76,175.63,18712468
Tue,7/21/2020,172.53,173.25,172.31,173,12864620
Mon,7/20/2020,170.76,171.07,170.27,170.94,10095548
Fri,7/17/2020,169.94,170.27,169.6,170.12,10295987
Thu,7/16/2020,169.8,169.99,168.65,168.73,10242371
Wed,7/15/2020,169.62,170.43,169.39,170.34,7533737
Tue,7/14/2020,168.97,170.2,168.81,170.19,9812736
Mon,7/13/2020,170.29,170.42,169.16,169.4,11095946
Fri,7/10/2020,169.95,170.15,168.57,169.19,8218013
Thu,7/9/2020,170.48,170.63,168.78,169.63,13327389
Wed,7/8/2020,170.32,170.86,169.78,170.09,11662675
Tue,7/7/2020,167.41,169.04,167.38,169.04,11633122
Mon,7/6/2020,167.75,168,167.19,167.98,7265701
Thu,7/2/2020,166.2,167.24,166.02,166.98,8753455
Wed,7/1/2020,167.05,167.06,165.34,166.62,13214759
Tue,6/30/2020,166.31,167.99,166.18,167.37,12762295
Mon,6/29/2020,166.56,166.8,166.18,166.63,6735595
Fri,6/26/2020,164.87,166.56,164.22,166.54,9753338
Thu,6/25/2020,165.89,165.91,165.16,165.8,7093774
Wed,6/24/2020,166.01,166.99,165.45,165.9,10901144
Tue,6/23/2020,165.63,166.52,165.52,166.48,12137293
Mon,6/22/2020,165.06,165.73,164.41,165.09,12385635
Fri,6/19/2020,162.87,164.09,162.78,164.03,12187390
Thu,6/18/2020,162.2,162.32,161.44,162.24,5397628
Wed,6/17/2020,162,162.62,161.77,162.56,4758210
Tue,6/16/2020,161.85,162.68,161.36,162.25,7969781
Mon,6/15/2020,160.52,162.56,160.16,162.33,8538826
Fri,6/12/2020,163.41,163.88,162.56,162.62,6895361
Thu,6/11/2020,163.35,164.06,161.97,162.39,11673902
Wed,6/10/2020,162.1,163.63,160.52,163.57,13009261
Tue,6/9/2020,161.1,161.77,160.87,161.26,9045614
Mon,6/8/2020,158.9,159.86,158.47,159.72,9244440
Fri,6/5/2020,158.72,158.72,157.04,158.01,16021182
Thu,6/4/2020,161.14,161.87,159.84,161.28,10094024
Wed,6/3/2020,160.34,160.9,158.82,159.6,17000510
Tue,6/2/2020,163.89,164.08,161.86,162.6,10388908
Mon,6/1/2020,162.92,163.74,162.39,163.66,8155048
Fri,5/29/2020,162.58,163.4,162.32,162.91,12584009
Thu,5/28/2020,162.12,162.46,160.9,161.72,9761610
Wed,5/27/2020,159.42,161.34,159.2,161.18,13063451
Tue,5/26/2020,162.58,162.58,160.69,160.89,13971962
Fri,5/22/2020,162.88,163.47,162.74,163.21,8540909
Thu,5/21/2020,163.46,163.58,161.37,162.25,11790841
Wed,5/20/2020,164.54,164.96,163.89,164.65,10666071
Tue,5/19/2020,163.6,164.43,163.04,164.26,8531719
Mon,5/18/2020,164.33,164.49,162.41,162.69,14137907
Fri,5/15/2020,164.02,164.8,163.08,163.93,13918816
Thu,5/14/2020,161.53,163.34,161.51,163.01,17084368
Wed,5/13/2020,160.94,161.62,160.54,161.58,10950397
Tue,5/12/2020,160.3,160.95,159.72,160.04,10405791
Mon,5/11/2020,160.34,160.71,158.89,159.42,11209822
Fri,5/8/2020,161.08,162,160,160.42,12244561
Thu,5/7/2020,159.5,161.96,159.36,161.39,13696493
Wed,5/6/2020,158.99,159.81,158.1,158.95,13351957
Tue,5/5/2020,160.16,161.1,159.33,161.02,10563066
Mon,5/4/2020,160.33,160.95,159.91,160.34,7986191
Fri,5/1/2020,158,160.45,157.8,159.78,10914334
Thu,4/30/2020,160.22,160.82,158.13,158.8,13633483
Wed,4/29/2020,160.1,161.85,159.76,161.73,12232348
Tue,4/28/2020,160.89,160.98,159.16,160.84,10382775
Mon,4/27/2020,161.88,162,160.41,161.56,9033533
