Day,Date,Open,High,Low,Close,Volume
Thu,8/6/2020,86.57,86.59,86.56,86.57,1793433
Wed,8/5/2020,86.57,86.58,86.56,86.57,3037492
Tue,8/4/2020,86.58,86.59,86.57,86.59,2871042
Mon,8/3/2020,86.56,86.58,86.54,86.58,2979843
Fri,7/31/2020,86.58,86.58,86.56,86.58,3231670
Thu,7/30/2020,86.55,86.57,86.55,86.57,2018064
Wed,7/29/2020,86.53,86.55,86.52,86.54,2552789
Tue,7/28/2020,86.51,86.53,86.51,86.52,3806740
Mon,7/27/2020,86.53,86.53,86.49,86.5,2252179
Fri,7/24/2020,86.52,86.53,86.51,86.53,3057822
Thu,7/23/2020,86.52,86.53,86.51,86.52,2264464
Wed,7/22/2020,86.53,86.53,86.51,86.52,3778765
Tue,7/21/2020,86.5,86.53,86.5,86.53,4020273
Mon,7/20/2020,86.53,86.53,86.5,86.51,3536613
Fri,7/17/2020,86.52,86.53,86.5,86.53,2017392
Thu,7/16/2020,86.52,86.53,86.5,86.51,1751103
Wed,7/15/2020,86.49,86.51,86.48,86.51,4555891
Tue,7/14/2020,86.51,86.52,86.49,86.5,2113759
Mon,7/13/2020,86.49,86.5,86.48,86.49,2333444
Fri,7/10/2020,86.53,86.53,86.49,86.49,2448839
Thu,7/9/2020,86.5,86.52,86.49,86.52,2510322
Wed,7/8/2020,86.5,86.51,86.49,86.5,3456948
Tue,7/7/2020,86.48,86.5,86.48,86.5,2940689
Mon,7/6/2020,86.49,86.5,86.48,86.48,3408703
Thu,7/2/2020,86.49,86.51,86.47,86.51,2664388
Wed,7/1/2020,86.51,86.51,86.47,86.47,4792142
Tue,6/30/2020,86.52,86.52,86.49,86.5,4449142
Mon,6/29/2020,86.49,86.51,86.48,86.51,2769727
Fri,6/26/2020,86.46,86.5,86.46,86.49,4115214
Thu,6/25/2020,86.45,86.47,86.45,86.46,1718975
Wed,6/24/2020,86.44,86.46,86.43,86.46,2113710
Tue,6/23/2020,86.44,86.45,86.43,86.45,2795681
Mon,6/22/2020,86.45,86.46,86.43,86.43,2601246
Fri,6/19/2020,86.44,86.47,86.43,86.45,3482018
