Day,Date,Open,High,Low,Close,Volume
Thu,8/6/2020,26.31,26.9,25.88,26.88,108848696
Wed,8/5/2020,25.12,25.28,24.61,25.05,92854816
Tue,8/4/2020,22.7,24.25,22.62,24.25,75733488
Mon,8/3/2020,22.59,22.77,22.38,22.74,40947456
Fri,7/31/2020,22.21,22.67,22.11,22.65,49164096
Thu,7/30/2020,21.7,22.01,21.4,21.76,60066512
Wed,7/29/2020,22.68,23.25,21.71,22.57,83963152
Tue,7/28/2020,22.31,22.97,22.07,22.77,94721800
Mon,7/27/2020,22.56,22.85,22.42,22.83,94892608
Fri,7/24/2020,21.34,21.36,20.93,21.21,49831272
Thu,7/23/2020,21.1,21.51,20.72,21.03,95257088
Wed,7/22/2020,20.65,21.45,20.51,21.44,125780088
Tue,7/21/2020,19.52,19.88,19.42,19.67,76944600
Mon,7/20/2020,18.36,18.57,18.23,18.53,41717148
Fri,7/17/2020,17.98,18.07,17.89,18.01,34199984
Thu,7/16/2020,17.98,18.06,17.78,17.78,29565988
Wed,7/15/2020,17.89,18.17,17.83,18.17,36148344
Tue,7/14/2020,17.71,18,17.67,17.97,35495064
Mon,7/13/2020,17.99,18.08,17.71,17.73,49876184
Fri,7/10/2020,17.49,17.53,17.3,17.43,20454508
Thu,7/9/2020,17.7,17.74,17.22,17.38,40374776
Wed,7/8/2020,17.33,17.49,17.3,17.49,37782316
Tue,7/7/2020,16.93,17.12,16.92,17.01,25945180
Mon,7/6/2020,17.08,17.16,16.95,17.05,24977640
Thu,7/2/2020,16.7,16.89,16.67,16.71,18561034
Wed,7/1/2020,17.01,17.03,16.61,16.82,36577144
Tue,6/30/2020,16.65,17.01,16.65,17.01,37872764
Mon,6/29/2020,16.58,16.66,16.49,16.65,13861902
Fri,6/26/2020,16.49,16.74,16.29,16.63,26029208
Thu,6/25/2020,16.5,16.61,16.41,16.59,16699833
Wed,6/24/2020,16.36,16.62,16.24,16.28,25976496
Tue,6/23/2020,16.73,16.77,16.64,16.76,25742468
Mon,6/22/2020,16.72,16.81,16.46,16.5,26625376
Fri,6/19/2020,16.43,16.6,16.36,16.49,26968822
Thu,6/18/2020,16.2,16.25,16.12,16.21,15444939
Wed,6/17/2020,16.34,16.41,16.25,16.33,13485680
Tue,6/16/2020,16.2,16.38,16.18,16.26,23368016
Mon,6/15/2020,15.87,16.28,15.79,16.23,28946328
Fri,6/12/2020,16.44,16.55,16.21,16.28,31220554
Thu,6/11/2020,16.75,16.88,16.28,16.44,41000092
Wed,6/10/2020,16.7,16.96,16.36,16.96,40556952
Tue,6/9/2020,16.43,16.57,16.36,16.42,18582710
Mon,6/8/2020,16.35,16.6,16.27,16.59,25594822
Fri,6/5/2020,16.18,16.23,16.04,16.2,27360384
Thu,6/4/2020,16.54,16.64,16.36,16.54,20272496
Wed,6/3/2020,16.5,16.56,16.27,16.48,36302864
Tue,6/2/2020,17.06,17.07,16.57,16.84,32202592
Mon,6/1/2020,16.86,17.1,16.83,17.1,31283168
Fri,5/29/2020,16.55,16.7,16.49,16.66,42255864
Thu,5/28/2020,16.24,16.34,16.1,16.19,30255738
Wed,5/27/2020,15.75,16.2,15.72,16.15,36108968
Tue,5/26/2020,16.28,16.28,15.86,15.97,30607218
Fri,5/22/2020,15.96,16.09,15.91,16.04,25203360
