Day,Date,Open,High,Low,Close,Volume
Fri,7/31/2020,169.96,171.26,169.75,170.81,8896154
Thu,7/30/2020,170.86,171.07,170.56,170.92,9386563
Wed,7/29/2020,169.86,170.2,168.79,169.8,6741227
Tue,7/28/2020,169.35,170.15,169.24,170.09,8530197
Mon,7/27/2020,170.06,170.11,168.8,168.92,6153575
Fri,7/24/2020,168.82,169.73,168.68,169.55,7529207
Thu,7/23/2020,168.73,169.69,168.29,169.56,10483456
Wed,7/22/2020,168.07,168.27,167.5,167.6,6599421
Tue,7/21/2020,167.11,167.53,166.89,167.1,8464522
Mon,7/20/2020,167.32,167.43,166.61,167,6915206
Fri,7/17/2020,167.08,167.21,166.28,166.59,8559680
Thu,7/16/2020,167.21,167.58,166.85,166.94,9117519
Wed,7/15/2020,165.74,166.76,165.64,166.16,7849312
Tue,7/14/2020,167.74,167.95,166.79,166.93,11357261
Mon,7/13/2020,165.32,166.77,165.05,166.69,8062975
Fri,7/10/2020,167.76,168.02,165.98,166.15,8487811
Thu,7/9/2020,164.48,167.26,164.42,166.98,13387978
Wed,7/8/2020,164.14,164.74,163.65,164.37,7261956
Tue,7/7/2020,163.24,165.16,163.02,165.03,12806182
Mon,7/6/2020,162.15,162.84,161.57,162.74,7981541
Thu,7/2/2020,162.52,163.56,162.06,163.41,7608398
Wed,7/1/2020,162.63,163.38,161.97,163.24,13195932
Tue,6/30/2020,164.85,164.91,163.11,163.56,14875591
Mon,6/29/2020,164.47,164.89,164.01,164.35,7291194
Fri,6/26/2020,163.88,164.94,163.81,164.87,12146992
Thu,6/25/2020,163.84,163.98,163.03,163.13,10993046
Wed,6/24/2020,161.16,162.72,161.15,162.66,11462634
Tue,6/23/2020,161.11,161.69,160.75,160.93,9109348
Mon,6/22/2020,162.82,163.05,161.7,162.04,9341258
Fri,6/19/2020,160.63,162.13,160.54,162.02,8585351
Thu,6/18/2020,161.67,162.11,161.24,161.89,7708950
Wed,6/17/2020,159.9,160.4,158.98,160.19,7130156
Tue,6/16/2020,159.05,160.86,158.34,159.54,13732606
Mon,6/15/2020,163.52,163.85,161.77,162.02,7778569
Fri,6/12/2020,162.04,163.29,161.68,161.93,9738635
Thu,6/11/2020,162.87,163.86,162.26,163.51,17125416
Wed,6/10/2020,158.88,160.53,158.69,160.47,13165533
Tue,6/9/2020,158.69,159.28,157.94,158.13,9116040
Mon,6/8/2020,154.72,156.49,154.7,156.35,10370323
Fri,6/5/2020,154.26,155.8,152.81,155.75,17819174
Thu,6/4/2020,158.56,158.65,156.83,156.87,14070648
Wed,6/3/2020,159.81,159.96,158.58,159.18,12283741
Tue,6/2/2020,161.3,161.72,160.88,161.32,11543370
Mon,6/1/2020,161.73,162.07,161.3,161.91,13383814
Fri,5/29/2020,162.13,163.51,161.78,163.01,14714464
Thu,5/28/2020,161.38,161.99,161.08,161.85,10309894
Wed,5/27/2020,162.21,163.33,162.01,162.45,8076126
Tue,5/26/2020,163.13,163.21,162.39,162.75,8127889
Fri,5/22/2020,164.13,165.09,164.02,164.96,4974532
Thu,5/21/2020,164.27,164.77,163.7,163.97,8952195
Wed,5/20/2020,162.59,164.11,162.3,163.57,10966334
Tue,5/19/2020,161.94,163.12,161.9,163.08,8670145
Mon,5/18/2020,164.34,164.47,161.84,162.47,10109995
Fri,5/15/2020,167.7,167.89,165.74,166.12,7251461
Thu,5/14/2020,166.72,167.55,166.46,166.54,10116393
Wed,5/13/2020,164.5,165.7,164.24,164.93,13353138
Tue,5/12/2020,162.58,164.34,162.55,163.78,10093299
Mon,5/11/2020,163.08,163.64,161.52,162.12,8744895
Fri,5/8/2020,163.9,164.81,163.1,163.4,8159536
Thu,5/7/2020,162.98,165.78,162.76,165.55,9198217
Wed,5/6/2020,162.65,163.06,161.47,162.83,14774140
Tue,5/5/2020,164.98,165.68,164.68,165.5,7859911
Mon,5/4/2020,166.96,167.08,165.89,166.56,8330595
Fri,5/1/2020,166.9,167.51,165.85,167.35,10245914
Thu,4/30/2020,167.92,168.41,165.9,165.93,11662681
Wed,4/29/2020,168.71,169.43,167.14,167.89,8661608
Tue,4/28/2020,167.73,169.03,167.63,168.77,9953729
Mon,4/27/2020,168.84,168.93,166.63,166.85,9083574
Fri,4/24/2020,168.79,170.01,168.75,170.01,6242101
Thu,4/23/2020,169.05,170.1,168.78,169.61,5997696
Wed,4/22/2020,169.15,169.56,167.89,168.72,6260883
Tue,4/21/2020,171.1,171.31,169.95,170.46,7889017
Mon,4/20/2020,167.62,168.47,167.14,168.34,6494161
Fri,4/17/2020,169,170.01,166.46,167,8654125
Thu,4/16/2020,168.44,169.49,168.2,169.26,8305728
Wed,4/15/2020,165.99,167.78,165.93,167.36,10076662
Tue,4/14/2020,163.04,163.94,162.69,163.04,9063523
Mon,4/13/2020,163.95,164.91,163.08,163.08,8792977
Thu,4/9/2020,163.48,164.99,162.99,164.59,13931778
Wed,4/8/2020,164.31,165.38,163.33,164.29,10050117
Tue,4/7/2020,164.16,165.61,162.92,165.49,13874288
Mon,4/6/2020,166.19,167.45,165.72,167.24,9477311
Fri,4/3/2020,167.73,169.5,167.32,167.68,6601097
Thu,4/2/2020,168.01,168.4,166.45,167.28,5797542
Wed,4/1/2020,167.66,168.14,165.59,166.23,11381049
Tue,3/31/2020,164.66,165.87,163.52,163.93,11537310
Mon,3/30/2020,167.24,169.04,164.9,165.27,13556879
Fri,3/27/2020,164.48,167.19,163.55,166.65,12627221
Thu,3/26/2020,162.96,164.64,161.25,162.31,10643079
Wed,3/25/2020,162.56,165.63,160.6,161.52,10814920
Tue,3/24/2020,160.24,164.41,159.4,161.89,12015696
Mon,3/23/2020,156.51,165.64,155.59,164.96,20087768
Fri,3/20/2020,152.34,158.43,151.15,158.43,20942864
Thu,3/19/2020,146.03,152.48,144.34,147.35,21306016
Wed,3/18/2020,151.88,153.17,138.14,143.44,44910332
Tue,3/17/2020,162.47,164.59,151.75,152.02,18335260
Mon,3/16/2020,159.37,165.1,156.82,162.88,30684552
Fri,3/13/2020,154.03,157.21,151.23,152.97,19932456
Thu,3/12/2020,162.48,165.31,154.68,156.51,24506360
Wed,3/11/2020,164.39,165.98,154.65,155.55,29662908
Tue,3/10/2020,168.57,171.84,161.01,161.49,37940048
Mon,3/9/2020,177.97,178.57,169.27,170.21,41770036
Fri,3/6/2020,166.25,168.26,163.08,165.72,76739344
Thu,3/5/2020,156.14,157.82,155.82,157.52,17894988
Wed,3/4/2020,155.43,156.36,153.22,153.7,23571652
Tue,3/3/2020,152.84,158.7,151.4,155.35,38834424
Mon,3/2/2020,154.32,155.52,152.79,152.97,28283400
Fri,2/28/2020,153.25,154.77,152.96,154.11,45198028
Thu,2/27/2020,151.52,151.89,149.66,150.7,30921788
Wed,2/26/2020,148.79,150.54,148.42,149.08,22764314
Tue,2/25/2020,149.04,150.58,148.98,149.88,20961562
Mon,2/24/2020,149.66,149.79,148.84,149.08,16039817
Fri,2/21/2020,146.65,147.73,146.5,146.89,13969202
Thu,2/20/2020,144.95,145.8,144.87,145.53,9403173
Wed,2/19/2020,143.99,144.49,143.86,144.4,5759486
Tue,2/18/2020,144.21,144.92,143.8,144.41,6962082
Fri,2/14/2020,143.64,143.95,143.33,143.43,7191929
Thu,2/13/2020,142.33,143.08,142.16,142.8,7939765
Wed,2/12/2020,142.26,142.44,141.88,142.26,5625682
